nursery,lat,long,trees
alpine,-33.659596,151.026671,881
andreasens,-33.87299,150.780626,725
mangrove mountain,-33.327898,151.157264,217
trees impact,-33.180472,151.571626,158
greenstock,-27.256703,153.024981,683
ibrox,-27.553837,153.153343,266
pallara,-27.620971,152.998968,329
flemings,-37.862445,145.444704,1209
speciality,-37.951617,145.340269,886
established tree transplanters,-37.812102,145.461795,409
mt william,-37.239562,144.782219,1122
darwin plant wholesalers,-12.573589,131.25268,821
benara,-31.595196,115.724438,1180
arborwest,-31.72602,115.830227,764
ellenby tree farm,-31.763484,115.862019,1060
adelaide advanced,-35.064844,138.647758,397
adelaide tree farm,-34.995084,138.766712,89
heynes,-34.74424,138.609229,288
cleveland,-34.942277,138.911917,197
manor,-34.97082,138.864022,140
freshford,-34.823419,138.883282,864
logans,-27.000872,153.029939,451
plants direct,-26.476995,152.9986,684
Hawkesbury Institute for the Environment,-33.612488,150.749689,0
